wavedate,Persönlich,Für die österr. Bevölkerung,Persönlich_ymax,Für die österr. Bevölkerung_ymax,Persönlich_ymin,Für die österr. Bevölkerung_ymin
2020-03-28,2.8790989645129406,3.6922419746670054,2.9448063728299236,3.7438057582547213,2.8133915561959575,3.6406781910792896
2020-04-04,2.793234441043145,3.5235285331609285,2.8568587445600624,3.5745365275037764,2.729610137526228,3.4725205388180806
2020-04-11,2.6437760060235878,3.3909537248333512,2.705890234479704,3.4402889403493515,2.5816617775674717,3.341618509317351
2020-04-17,2.51600049281697,3.2424847502479097,2.5772526366088324,3.293202444189276,2.4547483490251074,3.1917670563065434
2020-04-25,2.4276946650238513,3.1244490877536455,2.491441930451258,3.1765517815227895,2.363947399596445,3.0723463939845015
2020-05-03,2.309979444568581,3.0070825756573885,2.3688587518744466,3.059082531459146,2.251100137262715,2.955082619855631
2020-05-09,2.1797394979259,2.8752597567166216,2.240693005951538,2.9289420128544434,2.118785989900262,2.8215775005787997
2020-05-16,2.1568559692121236,2.7916469626126648,2.2196193713444528,2.845794309382189,2.0940925670797945,2.7374996158431406
2020-05-24,2.1236743009556447,2.7856760870966304,2.1847741577218653,2.8421865376433715,2.062574444189424,2.7291656365498893
2020-05-29,2.064633372120423,2.662487487436838,2.124507368638996,2.7180163984204073,2.00475937560185,2.606958576453269
2020-06-13,2.071609381180494,2.701857099946128,2.1341466298958287,2.759593563008884,2.009072132465159,2.6441206368833723
2020-06-27,2.2322690569731702,2.932440728605203,2.2951641825472735,2.987283378714724,2.169373931399067,2.877598078495682
2020-07-11,2.375779493590669,3.072060142487568,2.4390027634295053,3.128127426741546,2.3125562237518325,3.0159928582335898
2020-08-15,2.450356462954144,3.1008564364583755,2.5126933628815697,3.1611174312906996,2.3880195630267185,3.0405954416260514
2020-09-12,2.495089008888205,3.1944673473629175,2.5575526566475997,3.251846570812931,2.4326253611288102,3.137088123912904
2020-10-17,2.5507998480938103,3.301387466817058,2.6099485745455375,3.3586998780169153,2.491651121642083,3.2440750556172007
2020-11-14,2.7421481292925036,3.5991200257223137,2.8076767211924842,3.6584867869949775,2.676619537392523,3.53975326444965
2020-12-13,2.5399224044723185,3.37628535827413,2.604191373479157,3.4333840611820774,2.47565343546548,3.319186655366183
2021-01-16,2.5876945055958824,3.35360471102189,2.6501840162856176,3.411073488509802,2.5252049949061472,3.296135933533978
2021-02-13,2.4883414597985603,3.234371515384656,2.5483195903368,3.291343955133897,2.4283633292603204,3.177399075635415
2021-03-13,2.456668977855467,3.2678446567388453,2.5215098303004346,3.330088125179117,2.391828125410499,3.2056011882985738
2021-04-16,2.4374850109461548,3.1529127521172935,2.5047757834035362,3.214392037633765,2.3701942384887733,3.091433466600822
2021-05-22,2.191493125404357,2.8596134256881816,2.2530057299603135,2.9173681584678546,2.1299805208484006,2.8018586929085085
2021-06-26,2.0975959566739455,2.779912955577727,2.159347910609067,2.8368671645253256,2.035844002738824,2.7229587466301286
