wave,condition,n
1,ges_per_gefahr,1534
1,ges_pub_gefahr,1534
2,ges_per_gefahr,1547
2,ges_pub_gefahr,1548
3,ges_per_gefahr,1490
3,ges_pub_gefahr,1489
4,ges_per_gefahr,1521
4,ges_pub_gefahr,1519
5,ges_per_gefahr,1499
5,ges_pub_gefahr,1499
6,ges_per_gefahr,1538
6,ges_pub_gefahr,1537
7,ges_per_gefahr,1507
7,ges_pub_gefahr,1505
8,ges_per_gefahr,1485
8,ges_pub_gefahr,1485
9,ges_per_gefahr,1485
9,ges_pub_gefahr,1484
10,ges_per_gefahr,1481
10,ges_pub_gefahr,1483
11,ges_per_gefahr,1498
11,ges_pub_gefahr,1498
12,ges_per_gefahr,1505
12,ges_pub_gefahr,1506
13,ges_per_gefahr,1515
13,ges_pub_gefahr,1514
14,ges_per_gefahr,1531
14,ges_pub_gefahr,1530
15,ges_per_gefahr,1566
15,ges_pub_gefahr,1566
16,ges_per_gefahr,1652
16,ges_pub_gefahr,1655
17,ges_per_gefahr,1584
17,ges_pub_gefahr,1583
18,ges_per_gefahr,1553
18,ges_pub_gefahr,1554
19,ges_per_gefahr,1599
19,ges_pub_gefahr,1603
20,ges_per_gefahr,1562
20,ges_pub_gefahr,1562
21,ges_per_gefahr,1561
21,ges_pub_gefahr,1560
22,ges_per_gefahr,1514
22,ges_pub_gefahr,1514
23,ges_per_gefahr,1488
23,ges_pub_gefahr,1488
24,ges_per_gefahr,1497
24,ges_pub_gefahr,1493
